Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 65.74      1.65     1.65   869998     0.00     0.00  try_swap
 16.73      2.07     0.42 25584958     0.00     0.00  comp_td_point_to_point_delay
  6.77      2.24     0.17    68548     0.00     0.00  label_wire_muxes
  2.39      2.30     0.06  3008047     0.00     0.00  update_bb
  1.99      2.35     0.05   315200     0.00     0.00  get_bb_from_scratch
  1.99      2.40     0.05      124     0.00     0.00  load_net_slack
  1.20      2.43     0.03        1     0.03     2.51  try_place
  0.80      2.45     0.02      477     0.00     0.00  timing_driven_route_net
  0.60      2.47     0.02  3022684     0.00     0.00  my_irand
  0.40      2.48     0.01  1342470     0.00     0.00  get_rr_node_index
  0.40      2.49     0.01      511     0.00     0.00  get_mst_of_net
  0.40      2.50     0.01      139     0.00     0.00  comp_td_costs
  0.40      2.51     0.01        1     0.01     0.01  add_rr_graph_C_from_switches
  0.20      2.51     0.01        1     0.01     0.01  my_srandom
  0.00      2.51     0.00   638248     0.00     0.00  my_frand
  0.00      2.51     0.00   377666     0.00     0.00  my_malloc
  0.00      2.51     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      2.51     0.00   222559     0.00     0.00  node_to_heap
  0.00      2.51     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      2.51     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.51     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.51     0.00    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.00      2.51     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      2.51     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      2.51     0.00    29040     0.00     0.00  get_seg_end
  0.00      2.51     0.00    29040     0.00     0.00  get_seg_start
  0.00      2.51     0.00    22465     0.00     0.00  free_heap_data
  0.00      2.51     0.00    22465     0.00     0.00  get_heap_head
  0.00      2.51     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      2.51     0.00    20292     0.00     0.00  check_node
  0.00      2.51     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      2.51     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      2.51     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      2.51     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      2.51     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      2.51     0.00     4966     0.00     0.00  is_opin
  0.00      2.51     0.00     3774     0.00     0.00  my_atoi
  0.00      2.51     0.00     3302     0.00     0.00  FreeTokens
  0.00      2.51     0.00     3287     0.00     0.00  CountTokens
  0.00      2.51     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      2.51     0.00     1359     0.00     0.00  my_strdup
  0.00      2.51     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      2.51     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      2.51     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      2.51     0.00      551     0.00     0.00  ezxml_decode
  0.00      2.51     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      2.51     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      2.51     0.00      477     0.00     0.00  empty_heap
  0.00      2.51     0.00      477     0.00     0.00  free_route_tree
  0.00      2.51     0.00      477     0.00     0.00  free_traceback
  0.00      2.51     0.00      477     0.00     0.00  heapsort
  0.00      2.51     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      2.51     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      2.51     0.00      477     0.00     0.00  mark_ends
  0.00      2.51     0.00      477     0.00     0.00  reset_path_costs
  0.00      2.51     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      2.51     0.00      477     0.00     0.00  update_route_tree
  0.00      2.51     0.00      477     0.00     0.00  update_traceback
  0.00      2.51     0.00      437     0.00     0.00  alloc_matrix
  0.00      2.51     0.00      431     0.00     0.00  ezxml_char_content
  0.00      2.51     0.00      430     0.00     0.00  free_matrix
  0.00      2.51     0.00      359     0.00     0.00  postscript
  0.00      2.51     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      2.51     0.00      222     0.00     0.00  FreeNode
  0.00      2.51     0.00      222     0.00     0.00  ezxml_cut
  0.00      2.51     0.00      222     0.00     0.00  ezxml_free
  0.00      2.51     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      2.51     0.00      221     0.00     0.00  ezxml_insert
  0.00      2.51     0.00      183     0.00     0.00  ezxml_attr
  0.00      2.51     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      2.51     0.00      173     0.00     0.00  GetNodeTokens
  0.00      2.51     0.00      171     0.00     0.00  my_calloc
  0.00      2.51     0.00      139     0.00     0.00  get_next_hash
  0.00      2.51     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      2.51     0.00      124     0.00     0.00  load_timing_graph_net_delays
  0.00      2.51     0.00      123     0.00     0.00  load_criticalities
  0.00      2.51     0.00      123     0.00     0.00  update_screen
  0.00      2.51     0.00      121     0.00     0.00  load_sblock_pattern_lookup
  0.00      2.51     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      2.51     0.00       43     0.00     0.00  ezxml_child
  0.00      2.51     0.00       36     0.00     0.00  comp_width
  0.00      2.51     0.00        6     0.00     0.00  ParseFc
  0.00      2.51     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      2.51     0.00        5     0.00     0.00  alloc_matrix3
  0.00      2.51     0.00        5     0.00     0.00  my_realloc
  0.00      2.51     0.00        4     0.00     0.00  free_chunk_memory
  0.00      2.51     0.00        4     0.00     0.00  free_matrix3
  0.00      2.51     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      2.51     0.00        3     0.00     0.00  ProcessOption
  0.00      2.51     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      2.51     0.00        3     0.00     0.00  free_ivec_vector
  0.00      2.51     0.00        3     0.00     0.00  free_matrix4
  0.00      2.51     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      2.51     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      2.51     0.00        2     0.00     0.00  alloc_hash_table
  0.00      2.51     0.00        2     0.00     0.00  alloc_matrix4
  0.00      2.51     0.00        2     0.00     0.00  comp_bb_cost
  0.00      2.51     0.00        2     0.00     0.00  free_hash_table
  0.00      2.51     0.00        2     0.00     0.00  free_rr_graph
  0.00      2.51     0.00        2     0.00     0.00  init_chan
  0.00      2.51     0.00        2     0.00     0.00  load_chan_rr_indices
